Group,Model,SIS
Group1,FFNN,0.96859547852474
Group1,FFNN,0.8853447795457626
Group1,FFNN,0.6329107187043669
Group1,FFNN,0.8759536992169759
Group1,FFNN,0.9532944190251088
Group1,FFNN,0.9181916579681814
Group1,FFNN,0.9498012289165478
Group1,FFNN,0.9190381025203164
Group1,FFNN,0.9153869417172092
Group1,FFNN,0.9421181625512686
Group1,FFNN,0.8473227134622138
Group1,FFNN,0.8503038309041033
Group1,FFNN,0.9226925436096324
Group1,FFNN,0.8757133143920716
Group1,FFNN,0.9496316554697086
Group1,FFNN,0.9265106058919974
Group1,FFNN,0.9281823537961644
Group1,FFNN,0.9338045877222272
Group1,FFNN,0.7918818830291209
Group1,FFNN,0.9001287712844158
Group1,FFNN,0.9150610358839752
Group1,FFNN,0.8958221168172346
Group1,FFNN,0.845533551575162
Group1,FFNN,0.9277766600678145
Group1,FFNN,0.8465790602053215
Group1,FFNN,0.9120430646775812
Group1,FFNN,0.7975817188973243
Group1,FFNN,0.8654778064986147
Group1,FFNN,0.8422003549799432
Group1,FFNN,0.8614338477381869
Group1,FFNN,0.9214321816382712
Group1,FFNN,0.925669969571278
Group1,FFNN,0.913605246843313
Group1,FFNN,0.91275220986398
Group1,FFNN,0.9020639740854252
Group1,FFNN,0.9458674296361216
Group1,FFNN,0.8795512886539056
Group1,FFNN,0.8320556180586587
Group1,FFNN,0.9093240511180434
Group1,FFNN,0.941768782701087
Group1,FFNN,0.9078422925459896
Group1,FFNN,0.9277285703616543
Group1,FFNN,0.9558729943904678
Group1,FFNN,0.8388519012665726
Group1,FFNN,0.7206283877078933
Group1,FFNN,0.917725870999198
Group1,FFNN,0.8127758480320889
Group1,FFNN,0.9151146138801376
Group1,FFNN,0.7977821253437479
Group1,FFNN,0.8926770296473867
Group1,FFNN,0.7495957756212535
Group1,FFNN,0.9472562623773754
Group1,FFNN,0.9089826186352724
Group1,FFNN,0.8710168051454842
Group1,FFNN,0.8645864206948825
Group1,FFNN,0.9606155683373536
Group1,FFNN,0.9327483693033224
Group1,FFNN,0.9341791015568992
Group1,FFNN,0.9250068558159948
Group1,FFNN,0.9141318599290092
Group1,FFNN,0.9762850660540288
Group1,FFNN,0.976436483903046
Group1,FFNN,0.9468783182736036
Group1,FFNN,0.8639824292138037
Group1,FFNN,0.7677158502969362
Group1,FFNN,0.9477851634302038
Group1,FFNN,0.8032010179842692
Group1,FFNN,0.9666769699706104
Group1,FFNN,0.9264447491655966
Group1,FFNN,0.9571533123264828
Group1,FFNN,0.9810064300528656
Group1,FFNN,0.6802519443655892
Group1,FFNN,0.949572121087487
Group1,FFNN,0.8786062164810047
Group1,FFNN,0.8962440609575539
Group1,FFNN,0.9562379074667569
Group1,FFNN,0.8634974806402588
Group1,FFNN,0.93291238175403
Group1,FFNN,0.9258657671988448
Group1,FFNN,0.9275564537760004
Group1,FFNN,0.8995631044719027
Group1,FFNN,0.9077387657132108
Group1,FFNN,0.9151282878994323
Group1,FFNN,0.8822306521534851
Group1,FFNN,0.9680873094744596
Group1,FFNN,0.94931238694779
