Group,Model,SIS
Group4,FFNN,0.9684138101194312
Group4,FFNN,0.9074110365475176
Group4,FFNN,0.6521289129916604
Group4,FFNN,0.8296581055936961
Group4,FFNN,0.9496791333651334
Group4,FFNN,0.891966370999776
Group4,FFNN,0.9544617724507496
Group4,FFNN,0.8968668852558134
Group4,FFNN,0.9128821188518604
Group4,FFNN,0.9445544340212952
Group4,FFNN,0.839954656106444
Group4,FFNN,0.8545499914802572
Group4,FFNN,0.903462563203522
Group4,FFNN,0.8356232089548304
Group4,FFNN,0.9444764303215896
Group4,FFNN,0.922728105648062
Group4,FFNN,0.8951939101102693
Group4,FFNN,0.94625083380033
Group4,FFNN,0.8020824311178275
Group4,FFNN,0.8625033090048663
Group4,FFNN,0.8346722687821433
Group4,FFNN,0.917581069472575
Group4,FFNN,0.7952591228969875
Group4,FFNN,0.9028874387096594
Group4,FFNN,0.8648560021785126
Group4,FFNN,0.9047454890655532
Group4,FFNN,0.8162019149843347
Group4,FFNN,0.8470927875983225
Group4,FFNN,0.8688094324504722
Group4,FFNN,0.8623635003863244
Group4,FFNN,0.926279441536206
Group4,FFNN,0.8518286425229201
Group4,FFNN,0.9388653130675056
Group4,FFNN,0.91772226193261
Group4,FFNN,0.9078597009929688
Group4,FFNN,0.945380909425112
Group4,FFNN,0.8362870566766619
Group4,FFNN,0.8400958625529366
Group4,FFNN,0.9297155677978116
Group4,FFNN,0.9227207791840816
Group4,FFNN,0.9178763549543
Group4,FFNN,0.9149181028246466
Group4,FFNN,0.945163101636207
Group4,FFNN,0.8455048280898678
Group4,FFNN,0.7706740664240159
Group4,FFNN,0.9158874568466768
Group4,FFNN,0.7993812528225426
Group4,FFNN,0.9216522154705108
Group4,FFNN,0.7925866273091432
Group4,FFNN,0.9025776764393318
Group4,FFNN,0.6869608362743066
Group4,FFNN,0.9536381359875852
Group4,FFNN,0.922220888867216
Group4,FFNN,0.8910571090224821
Group4,FFNN,0.8651431666862315
Group4,FFNN,0.9496280143756564
Group4,FFNN,0.941978124884002
Group4,FFNN,0.9422513876359184
Group4,FFNN,0.9297864127764484
Group4,FFNN,0.8752922283033091
Group4,FFNN,0.971791061100348
Group4,FFNN,0.9686529079741028
Group4,FFNN,0.9442627772816232
Group4,FFNN,0.9021272653076424
Group4,FFNN,0.7794748533863647
Group4,FFNN,0.9327183821499644
Group4,FFNN,0.8437191546126696
Group4,FFNN,0.948242212618904
Group4,FFNN,0.9102986321825424
Group4,FFNN,0.9610536188952056
Group4,FFNN,0.9623100626069916
Group4,FFNN,0.7524657913390678
Group4,FFNN,0.9438115609024688
Group4,FFNN,0.864590448685212
Group4,FFNN,0.9381787694485796
Group4,FFNN,0.9519381499071852
Group4,FFNN,0.8571286240240585
Group4,FFNN,0.9039073527194992
Group4,FFNN,0.9240480053312812
Group4,FFNN,0.9422558750547942
Group4,FFNN,0.9068142772114846
Group4,FFNN,0.9577272506325928
Group4,FFNN,0.9312473693090604
Group4,FFNN,0.9012220675567848
Group4,FFNN,0.9647787165737648
Group4,FFNN,0.907974162350388
Group4,FFNN,0.9523001607622162
