Group,Model,SIS
1,Direct,0.7962266316021862
1,Direct,0.928830688683467
1,Direct,0.789272783456787
1,Direct,0.6957779263592772
1,Direct,0.8679981558259747
1,Direct,0.6217494731300441
1,Direct,0.6939252679779442
1,Direct,0.6586019218078012
1,Direct,0.926928964274108
1,Direct,0.9330941805140466
1,Direct,0.9672886678324276
1,Direct,0.4656873902485002
1,Direct,0.7981316448438864
1,Direct,0.662181057798366
1,Direct,0.7977829690095439
1,Direct,0.8601167672877058
1,Direct,0.9582169974334765
1,Direct,0.7440790599207154
1,Direct,0.44880894769443497
1,Direct,0.3765705528789806
1,Direct,0.9039668928408437
1,Direct,0.8750260840439896
1,Direct,0.82444132530726
1,Direct,0.8799809348108605
1,Direct,0.480682121239503
1,Direct,0.7667079355865107
1,Direct,0.530315989024671
1,Direct,0.7535387235416914
1,Direct,0.7388738349052848
1,Direct,0.7855453798846507
1,Direct,0.9157358630935645
1,Direct,0.9024359486501753
1,Direct,0.8988603773168656
1,Direct,0.8272083308435091
1,Direct,0.6179167034923564
1,Direct,0.9776710952022617
1,Direct,0.6889286160053565
1,Direct,0.6546632454683738
1,Direct,0.9048724142996182
1,Direct,0.5457299982931221
1,Direct,0.803041028227127
1,Direct,0.8977799572582678
1,Direct,0.45892051911696397
1,Direct,0.9631081221135726
1,Direct,0.7799931839594734
1,Direct,0.7952674552923856
1,Direct,0.763379498989441
1,Direct,0.7821927353840318
1,Direct,0.6642310907734554
1,Direct,0.8586482899051053
1,Direct,0.8741402232114436
1,Direct,0.7337185249318122
1,Direct,0.8914150393226813
1,Direct,0.9465213826429059
1,Direct,0.829727537539045
1,Direct,0.5770719600035809
1,Direct,0.8647355154525168
1,Direct,0.6701950685937218
1,Direct,0.950343276807221
1,Direct,0.75559415268999
1,Direct,0.7818389187054793
1,Direct,0.8623978346063687
1,Direct,0.8645593973118767
1,Direct,0.6228825447637685
1,Direct,0.9343185298298687
1,Direct,0.8820024379632858
1,Direct,0.8287733805354213
1,Direct,0.7855876104349055
1,Direct,0.9398343199375344
1,Direct,0.8894182391450163
1,Direct,0.8007758370598678
1,Direct,0.8565544552920226
1,Direct,0.7111711678601107
1,Direct,0.7882627310087362
1,Direct,0.718708701104755
1,Direct,0.724288456436858
1,Direct,0.9500605006977481
1,Direct,0.38549179899150937
1,Direct,0.7331023414286402
1,Direct,0.8868639685838048
1,Direct,0.6241995483219941
1,Direct,0.934941224543253
1,Direct,0.5746576250705198
1,Direct,0.5241325097831034
1,Direct,0.7850749461656702
1,Direct,0.8587766109634954
1,Direct,0.5796277547546516
1,Direct,0.7706866623620241
1,Direct,0.7541722363832664
1,Direct,0.8968802755108486
1,Direct,0.8903690295519529
1,Direct,0.6871896493997064
1,Direct,0.8236267648414946
1,Direct,0.7454115154164093
1,Direct,0.8920472083569654
1,Direct,0.8790381354525136
1,Direct,0.7933339915520635
1,Direct,0.7322238649652988
1,Direct,0.8930087049521888
1,Direct,0.8292205891371821
1,Direct,0.9516802896438716
1,Direct,0.9101554662055814
1,Direct,0.4184823636526529
1,Direct,0.8948679157524777
1,Direct,0.7727124083414906
1,Direct,0.6431080761327763
1,Direct,0.7589385823264394
1,Direct,0.870745221997647
1,Direct,0.889157584308324
1,Direct,0.6372288443582848
1,Direct,0.7170491993844686
1,Direct,0.5279045811784561
1,Direct,0.8874810427161512
1,Direct,0.8798429205421953
1,Direct,0.8105574318263786
1,Direct,0.8153477947226372
1,Direct,0.8282394993912463
1,Direct,0.9092482314453668
1,Direct,0.7706841581534898
1,Direct,0.8675687051484916
1,Direct,0.7385211563508599
1,Direct,0.7371012475615817
1,Direct,0.6336176086873738
1,Direct,0.970283080188124
1,Direct,0.8414345136474513
1,Direct,0.8119117548572977
1,Direct,0.5505359344524365
1,Direct,0.9199733514112598
1,Direct,0.6867889809988263
1,Direct,0.5952300107424467
1,Direct,0.7909766490339201
1,Direct,0.881639650954891
1,Direct,0.8515158335887969
1,Direct,0.8179801337683357
1,Direct,0.9169103174513366
1,Direct,0.9295189559924852
1,Direct,0.7037474505167584
1,Direct,0.9230775619455479
1,Direct,0.4557711319847126
1,Direct,0.8601164492694625
1,Direct,0.5338944206923778
1,Direct,0.735042127064973
1,Direct,0.9516600467185676
1,Direct,0.7510878179574318
1,Direct,0.947000777201196
1,Direct,0.8045499750587628
1,Direct,0.6027308675273763
1,Direct,0.7169373336582908
1,Direct,0.9065524782192135
1,Direct,0.8189373811376828
1,Direct,0.9181026750461959
1,Direct,0.7126797365551015
1,Direct,0.838017093529996
1,Direct,0.9380622597470178
1,Direct,0.8735680751825713
1,Direct,0.7816032305999165
1,Direct,0.9745132537526835
1,Direct,0.6564034312470183
1,Direct,0.7860746037044419
1,Direct,0.8411536509560712
1,Direct,0.7997576875071488
1,Direct,0.7141557650905088
1,Direct,0.8222834195470535
1,Direct,0.5744421623263463
1,Direct,0.6972328117483997
1,Direct,0.7829440104737512
1,Direct,0.786997723824745
1,Direct,0.7794636781283844
1,Direct,0.818761461067098
1,Direct,0.8178584858121806
1,Direct,0.7172604446446197
1,Direct,0.9644544446328034
1,Direct,0.8696587173195154
1,Direct,0.9020884544404294
1,Direct,0.9474846692160483
1,Direct,0.7984505010224274
1,Direct,0.9311222175844032
1,Direct,0.8159869568212211
1,Direct,0.6392786893012254
1,Direct,0.8704590104911337
1,Direct,0.696067272457377
1,Direct,0.8693467347564465
1,Direct,0.6945480460524142
1,Direct,0.812772184109901
1,Direct,0.8810373743230956
1,Direct,0.7381452451726248
1,Direct,0.7079989928987301
1,Direct,0.9538111056974121
1,Direct,0.9185197290544088
1,Direct,0.8476657660932215
1,Direct,0.9054598570212677
1,Direct,0.9715099238969028
1,Direct,0.8798807481570318
1,Direct,0.34152300441035727
1,Direct,0.876937751010747
1,Direct,0.8046130189044425
1,Direct,0.9767096438909765
1,Direct,0.8897015677556951
1,Direct,0.9020667832662854
1,Direct,0.8838583944151588
1,Direct,0.6704128173143862
1,Direct,0.6547754296336662
1,Direct,0.862272813569291
1,Direct,0.4557970701250833
1,Direct,0.8364704582043986
1,Direct,0.4089300147118259
1,Direct,0.9383371970225041
1,Direct,0.5878235030177136
1,Direct,0.7974637865316175
1,Direct,0.7454941855518125
1,Direct,0.8870566176328365
1,Direct,0.8384971306317418
1,Direct,0.8291687632729342
1,Direct,0.7829831389224208
1,Direct,0.7423732033526678
1,Direct,0.77677612363194
1,Direct,0.6305412680877419
1,Direct,0.8230847724232925
1,Direct,0.9610547280850449
1,Direct,0.9728151422928969
1,Direct,0.7501674392655748
1,Direct,0.6938357363666268
1,Direct,0.9348480623450272
1,Direct,0.8408390032062536
1,Direct,0.8353126628667313
1,Direct,0.9397242439446257
1,Direct,0.9118041403078111
1,Direct,0.8913510261235909
1,Direct,0.7609154156424982
1,Direct,0.8946557642401449
1,Direct,0.9202697996158703
1,Direct,0.8539041178703191
1,Direct,0.8867026414991614
1,Direct,0.9207221677778792
1,Direct,0.8017445632599929
1,Direct,0.7420086658833551
1,Direct,0.9837387688561215
1,Direct,0.81650713833616
1,Direct,0.7076543506988039
1,Direct,0.91013261931993
1,Direct,0.9712482608297093
1,Direct,0.6600138990529621
1,Direct,0.9633936868312826
1,Direct,0.8256621746537018
1,Direct,0.7823661047322262
1,Direct,0.888921898678154
1,Direct,0.837457968857401
1,Direct,0.8282055908719369
1,Direct,0.7255801139919018
1,Direct,0.8940692269422286
1,Direct,0.7554445710739113
1,Direct,0.6521320700285353
1,Direct,0.832432733394666
1,Direct,0.9597291505749734
1,Direct,0.9382376298301668
1,Direct,0.8864689687344744
1,Direct,0.7901346340717698
1,Direct,0.6603811827607042
1,Direct,0.658915731574754
1,Direct,0.9282156816979014
1,Direct,0.8029669307871925
1,Direct,0.9147597211919591
1,Direct,0.9001082872316691
1,Direct,0.7442035485900198
1,Direct,0.3525236478429259
1,Direct,0.6556308652282963
1,Direct,0.9239249095190409
1,Direct,0.7233085122143302
1,Direct,0.6400562805390412
1,Direct,0.7305254235493479
1,Direct,0.7921974315778819
1,Direct,0.8282100453555934
1,Direct,0.7981194195705715
1,Direct,0.9502793243367889
1,Direct,0.6803180134553469
1,Direct,0.6304328579689008
1,Direct,0.7619458488355851
1,Direct,0.801147449724857
1,Direct,0.9160953246197506
1,Direct,0.8824640775133099
1,Direct,0.8912265983220949
1,Direct,0.6147852084448066
1,Direct,0.5832901841089853
1,Direct,0.8089632797522546
1,Direct,0.7348820486147074
1,Direct,0.6242718262129844
1,Direct,0.43702205497302976
1,Direct,0.8149015553451059
1,Direct,0.6509391864542876
1,Direct,0.8864912449186373
1,Direct,0.6681341488763178
1,Direct,0.7046175668314167
1,Direct,0.9255852592659914
1,Direct,0.7808141344235233
1,Direct,0.49375443337283026
1,Direct,0.9228497777879536
1,Direct,0.9256243647962461
1,Direct,0.8169153164426939
1,Direct,0.25504804940850323
